ID,Recognition Number,Organisation Acronym,Organisation Name,Recognition Permission Type,Qualification Type,Level,Sector Subject Area,Apprenticeship Standard Code,Apprenticeship Standard Name,Technical Qualification Subject,Qualification Description,Start Date
12614,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,10.4 Theology and religious studies,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12615,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,11.1 Geography,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12616,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,11.2 Sociology and social policy,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12617,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,11.3 Politics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12618,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,11.4 Economics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12619,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,11.5 Anthropology,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12620,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,"12.1 Languages, literature and culture of the British Isles",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12621,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,"12.2 Other languages, literature and culture",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12622,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,12.3 Linguistics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12623,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,13.1 Teaching and lecturing,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12624,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,13.2 Direct learning support,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12625,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,14.1 Foundations for learning and life,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12626,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,14.2 Preparation for work,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12627,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,15.1 Accounting and finance,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12628,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,15.2 Administration,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12629,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,15.3 Business management,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12630,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,15.4 Marketing and sales,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12631,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1,15.5 Law and legal services,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12632,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,01.1 Medicine and Dentistry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12633,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,01.2 Nursing and subjects and vocations allied to medicine,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12634,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,01.3 Health and social care,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12635,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,01.4 Public services,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12636,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,01.5 Child development and well-being,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12637,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,02.1 Science,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12638,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,02.2 Mathematics and statistics,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12639,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,03.1 Agriculture,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12640,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,03.2 Horticulture and forestry,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12641,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,03.3 Animal care and veterinary science,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12642,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,03.4 Environmental conservation,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12643,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,04.1 Engineering,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12644,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,04.2 Manufacturing technologies,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12645,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,04.3 Transportation operations and maintenance,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12646,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,05.1 Architecture,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12647,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,05.2 Building and construction,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12648,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,"05.3 Urban, rural and regional planning",Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12649,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,06.1 ICT practitioners,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12650,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,06.2 ICT for users,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12651,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,07.1 Retailing and wholesaling,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12652,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,07.2 Warehousing and distribution,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12653,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,07.3 Service enterprises,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
12654,RN5133,Pearson,Pearson Education Ltd,All qualifications subject only to the General Conditions of Recognition,Not Applicable,Level 1/Level 2,07.4 Hospitality and catering,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
